,Mom   ,Mkt-RF,SMB,HML,RMW,CMA,RF,CPIAUCSL,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2012-11-26,0.03,-0.14,0.51,-0.18,-0.08,-0.28,0.0,-0.0016807561740774801,-0.004675750716524263,-0.007315949132677968,-0.009823474836872848,-0.00379501673558158,-0.004507421335666173,0.0008160128168879233,0.0008238803357012436,0.004496105432404196,0.012534890341242111
2012-11-27,-0.26,-0.43,0.4,-0.2,0.0,0.02,0.0,-0.0016807561740774801,-0.004055783258103851,-0.000847193324169826,-0.008355275245216287,-0.008911514674116106,-0.006042685634918943,-0.002178013322981176,-0.004401647065034542,-0.004496105432404196,0.002603627339945014
2012-11-28,-0.28,0.83,0.01,-0.31,0.31,-0.15,0.0,-0.0016807561740774801,0.012963707753026465,0.009563923363545168,0.009060291281260735,0.0038286419360682444,0.007797864484705208,0.008413803999198333,0.00412714023219829,0.005875280727324128,0.0040370508781291115
2012-11-29,0.04,0.54,0.7,0.0,-0.19,-0.18,0.0,-0.0016807561740774801,0.0027414549024107338,0.005304983698974919,0.0022522217542806366,0.005082872738047861,0.006991564916649651,0.005659699844733801,0.006840895250962209,0.004812535979997534,0.005738707099497198
2012-11-30,0.07,0.02,-0.16,0.28,-0.15,0.34,0.0,-0.0016807561740774801,0.0008413311532415868,0.003613440609191887,-0.0008438442807214841,-0.0012683679665608238,0.0012435752997466132,-0.0021521022499864095,0.0008177502721822272,-0.001029563250658061,0.010531096186263245
2012-12-03,0.09,-0.46,0.29,0.24,-0.04,0.07,0.001,-0.0016807561740774801,-0.005273413752103995,-0.003892045566748159,-0.005503742199556516,-0.0038145047714870373,-0.0022391358541056228,-0.010831510171235514,-0.018702116513047873,-0.0013738869343775661,-0.006248514530874605
2012-12-04,-0.52,-0.16,0.36,-0.03,0.0,0.04,0.001,-0.0016807561740774801,-0.004239163135419943,-0.0019519004496899584,-0.003685534282607872,-0.0025511108205305,0.0022391358541056228,0.0038043560022109624,0.001941402027372252,-0.0017204042591743018,-0.005141075762063352
2012-12-05,-0.9,0.17,-0.6,0.88,-0.53,0.61,0.001,-0.0016807561740774801,-0.002978133663050997,0.0016735091708093286,0.006934902889220496,0.012059997245340348,0.003224680262093216,0.010521788387135356,-0.011986323705060808,-0.010036277115966552,0.015063574146951364
2012-12-06,-0.04,0.31,-0.18,-0.11,0.17,-0.16,0.001,-0.0016807561740774801,0.006370770188287356,0.0011139006482898672,0.003238431790485663,0.0031499488724597846,-0.0004949790301744805,-0.0002683750285412678,0.002520654624942331,0.005895579178090582,-0.0005644674880400657
2012-12-07,-0.3,0.27,-0.34,0.29,-0.07,0.4,0.001,-0.0016807561740774801,0.0038031824149822313,0.006933636947698663,0.006027490794040524,0.008142450098686194,0.003216588928173003,0.0064224755015911406,0.008356497752691983,-0.0052002759629599105,0.0008461417392342518
